X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
372.3 1714.2 51.26597 34.09977 0.0568 0.02819 -0.01535 0.01741 0.05468 0.02887 17.17798 0.12223 0.9222
235.0 1854.3 51.28555 34.0832 0.02005 0.01979 0.01269 0.01304 -0.01553 0.02323 16.77576 0.08762 -0.4428
535.1 1852.5 51.24295 34.08319 0.00525 0.00346 0.00487 0.00331 0.00194 0.00427 14.67399 0.02618 0.1892
221.4 185.4 51.28466 34.27983 0.02162 0.02457 -0.02045 0.02179 0.00703 0.04117 17.55649 0.16782 1.4053
1199.0 1262.9 51.14765 34.15262 0.01837 0.01697 -0.01123 0.0185 0.01453 0.01598 17.06902 0.111 1.1145
106.4 341.5 51.30125 34.26156 0.01766 0.03209 -0.00704 0.01476 0.0162 0.03439 17.14009 0.11853 0.9903
736.4 806.3 51.2131 34.20699 0.00407 0.00437 0.00056 0.00394 -0.00403 0.00438 14.91086 0.02781 -0.7161
518.2 384.6 51.24322 34.25659 0.0345 0.03111 -0.00072 0.02211 -0.03449 0.03112 17.4824 0.15734 -0.7959
249.5 841.6 51.28217 34.20297 0.00938 0.00546 -0.00092 0.00326 -0.00934 0.00548 14.73415 0.02659 -0.8345
1347.3 1674.2 51.12665 34.10347 0.02332 0.01727 0.00929 0.01994 -0.02139 0.01672 17.09247 0.1133 -0.5805
320.7 543.4 51.27151 34.23798 0.02004 0.01307 0.00013 0.00751 -0.02004 0.01307 16.02245 0.04902 -0.7822
511.4 1672.4 51.24618 34.10464 0.01119 0.00871 0.00805 0.00725 -0.00778 0.01004 15.90027 0.04499 -0.3841
104.1 403.2 51.30173 34.25435 0.00188 0.02199 -0.0001 0.00958 -0.00188 0.02201 16.4403 0.0672 -0.8116
1795.1 376.6 51.06071 34.25673 0.00259 0.00347 0.0003 0.00558 0.00257 0.00343 14.78168 0.02693 0.7267
327.7 1314.8 51.27187 34.14714 0.00776 0.00365 0.00658 0.00309 -0.00411 0.00479 14.61508 0.02588 -0.2789
630.3 1292.2 51.22889 34.14965 0.01892 0.02337 -0.01208 0.02007 0.01456 0.0254 17.39111 0.14546 1.1316
1561.2 495.8 51.09461 34.24295 0.01362 0.01889 0.01198 0.02024 0.00649 0.01327 16.83904 0.09205 0.2483
1270.1 1695.9 51.13776 34.10099 0.02116 0.01674 0.00847 0.01864 0.01939 0.01636 17.059 0.11012 0.5793
1220.8 1679.6 51.14484 34.10301 0.00847 0.00424 -0.00246 0.00451 -0.0081 0.00422 15.02694 0.02885 -0.9326
1468.2 555.1 51.10808 34.23606 0.00944 0.02617 0.00938 0.02626 -0.0011 0.01802 17.31633 0.13684 -0.0584
1911.0 619.8 51.04437 34.22787 0.03362 0.03455 0.03289 0.03516 0.007 0.01586 17.07753 0.11342 0.1048
