X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
836.4 752.0 51.19902 34.21365 0.00537 0.0007 -0.00397 0.00069 0.00361 0.00072 12.07619 0.00869 1.2025
1217.6 853.6 51.14475 34.20149 0.03441 0.02126 -0.00743 0.02611 -0.03359 0.02099 16.72253 0.10859 -0.8943
800.1 107.1 51.2034 34.28926 0.04075 0.03188 0.03999 0.032 0.00783 0.02838 16.82558 0.1189 0.0967
510.4 1673.6 51.2463 34.1046 0.01037 0.00888 0.00511 0.00739 0.00903 0.00931 15.87203 0.05139 0.5278
225.9 186.5 51.28463 34.27982 0.07225 0.03915 -0.01518 0.02373 0.07064 0.03972 16.85109 0.12157 0.8912
745.7 429.1 51.21153 34.2516 0.00489 0.00257 -0.00334 0.00247 0.00357 0.00266 14.3592 0.01528 1.1621
243.6 271.7 51.28229 34.26989 0.04606 0.00795 0.03239 0.00573 -0.03275 0.00964 15.56782 0.0395 -0.3955
110.1 342.0 51.30121 34.26159 0.04712 0.03179 -0.02642 0.01677 0.03901 0.03667 16.617 0.09929 1.0831
1382.9 1232.3 51.12126 34.15654 0.00073 0.00417 -0.00041 0.00492 0.00061 0.00379 15.1039 0.0266 1.0814
521.7 386.6 51.24321 34.25655 0.05185 0.0306 -0.0222 0.02504 -0.04685 0.03171 16.8105 0.1173 -1.0066
251.6 842.1 51.28208 34.20302 0.00083 0.00347 0.00078 0.00316 -0.00029 0.00517 14.90855 0.02275 -0.1777
1346.8 1678.2 51.12657 34.10351 0.02413 0.02078 0.02121 0.02205 0.01149 0.01569 16.62155 0.09937 0.2482
1559.2 1313.2 51.09594 34.14673 0.01405 0.0094 -0.01319 0.00978 -0.00482 0.00589 15.67796 0.04345 -1.3956
1799.1 382.4 51.06117 34.25645 0.00813 0.00473 0.00582 0.00575 0.00568 0.00334 14.93949 0.02336 0.3865
107.3 403.8 51.30171 34.25437 0.00988 0.01959 -0.00567 0.01028 0.00809 0.02281 16.28016 0.07381 1.0912
323.9 544.4 51.2714 34.23801 0.00771 0.01205 0.00312 0.00803 -0.00705 0.01269 15.96539 0.05586 -0.5774
1378.9 729.6 51.12158 34.216 0.03625 0.01906 -0.02116 0.02203 0.02943 0.01732 16.6033 0.09785 1.0971
1334.3 507.1 51.12781 34.24222 0.02285 0.00695 -0.02253 0.00699 -0.00378 0.00534 15.48889 0.03683 -1.4877
805.6 511.8 51.20313 34.24189 0.02709 0.00777 0.02656 0.00775 0.00534 0.00807 15.79786 0.04816 0.0991
1472.4 1618.2 51.10848 34.11053 0.00431 0.00585 0.00107 0.00789 -0.00417 0.00568 15.57301 0.03962 -0.6595
318.0 870.1 51.27272 34.19974 0.00175 0.00584 0.00061 0.00398 0.00164 0.00605 15.18976 0.02858 0.6082
1580.2 1206.9 51.09291 34.15933 0.01427 0.02331 0.00729 0.03167 -0.01227 0.01952 16.74715 0.11105 -0.5174
1270.1 1699.7 51.1376 34.10103 0.03546 0.02018 -0.03202 0.02112 0.01523 0.01536 16.62122 0.09932 1.3488
371.3 1715.2 51.26615 34.09967 0.00325 0.02682 -8e-05 0.01835 0.00325 0.02682 16.68166 0.10479 0.7971
1914.0 625.9 51.04474 34.22765 0.02088 0.03193 -0.01633 0.03869 -0.01302 0.01643 16.65573 0.10286 -1.2342
116.3 679.7 51.30092 34.22204 0.00598 0.03319 0.0028 0.01646 0.00528 0.03654 16.69405 0.10606 0.5414
264.8 1461.4 51.28102 34.12983 0.01661 0.0069 0.00532 0.00435 0.01574 0.00713 15.34342 0.03253 0.6223
1199.8 1266.4 51.14754 34.15266 0.00922 0.02011 0.00792 0.02108 -0.00472 0.01708 16.62071 0.0993 -0.2689
234.0 1854.6 51.28581 34.08306 0.00576 0.02025 0.00301 0.01288 0.00491 0.0224 16.46904 0.087 0.5106
1205.7 1199.6 51.14666 34.16057 0.00426 0.00595 -0.00312 0.00642 0.0029 0.00535 15.49665 0.03705 1.1962
327.8 1315.3 51.27191 34.14716 0.00332 0.00415 -0.00125 0.00293 -0.00308 0.00432 14.76786 0.02039 -0.9785
