X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
513.9 1671.6 51.24683 34.10406 0.01918 0.01024 0.01452 0.00905 -0.01253 0.01165 1.71262 0.71473 -0.3561
330.0 1313.8 51.27292 34.14673 0.00414 0.00517 -0.00076 0.00343 -0.00407 0.00522 nan nan -0.8781
798.6 103.1 51.20445 34.29038 0.02546 0.02963 -0.02124 0.02794 -0.01404 0.03317 1.07265 0.40789 -1.2788
238.3 465.1 51.28552 34.24795 0.01915 0.01497 -0.01063 0.00835 0.01594 0.01711 1.60609 0.65392 1.0794
323.4 542.1 51.27315 34.23874 0.01918 0.01093 0.01693 0.00897 -0.00901 0.01605 1.55697 0.62704 -0.2447
251.8 840.3 51.28374 34.20323 0.01394 0.00604 -0.00247 0.00349 -0.01372 0.00611 nan nan -0.8745
739.4 805.6 51.21299 34.20715 0.00766 0.00468 -0.00523 0.00433 -0.00559 0.00496 nan nan -1.1612
117.6 483.9 51.30314 34.24576 0.01974 0.00442 0.00795 0.00241 -0.01807 0.00471 nan nan -0.5783
1490.6 1759.6 51.10653 34.09333 0.02549 0.01291 -0.0054 0.01727 0.02491 0.01266 1.35236 0.52373 0.8922
1390.8 865.6 51.1196 34.19926 0.01165 0.00438 -0.00979 0.00457 0.00632 0.00387 nan nan 1.2841
1798.6 375.4 51.06174 34.25619 0.00605 0.00488 -0.00377 0.00637 0.00473 0.00363 nan nan 1.1216
745.4 425.3 51.212 34.25227 0.01208 0.003 0.00069 0.0026 0.01206 0.003 nan nan 0.7567
521.2 383.6 51.24442 34.25746 0.03149 0.03328 -0.02615 0.02691 0.01755 0.04424 1.08244 0.4114 1.2752
655.6 824.8 51.2251 34.20492 0.01687 0.00576 -0.01289 0.00521 0.01087 0.00645 4.00651 2.55693 1.2206
1475.7 1613.2 51.10837 34.11069 0.00769 0.00742 -0.00283 0.00942 -0.00715 0.00705 2.25869 1.07385 -0.9737
805.4 508.1 51.20337 34.24239 0.01801 0.00907 0.01522 0.00866 0.00963 0.01002 1.74553 0.73419 0.2822
670.9 1937.4 51.22468 34.07238 0.02055 0.03711 -0.01484 0.0347 -0.01421 0.03957 1.05668 0.40227 -1.1889
537.8 1851.5 51.24378 34.08259 0.00258 0.00379 -0.00248 0.00371 -0.00071 0.00467 nan nan -1.4311
1218.6 849.6 51.14418 34.2014 0.01823 0.02643 0.01761 0.02661 -0.00474 0.02391 1.10583 0.41994 -0.1316
332.3 1446.6 51.2728 34.13088 0.01014 0.00961 0.00577 0.00681 0.00834 0.0107 2.14475 0.99307 0.4825
