X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1342.3 1680.4 51.12655 34.10355 0.05319 0.01988 -0.04797 0.02073 -0.02299 0.01567 17.02201 0.11058 -1.3473
109.3 684.7 51.3009 34.22201 0.00937 0.02593 -0.0072 0.01645 -0.006 0.03537 17.12918 0.12157 -1.2234
791.6 110.4 51.20345 34.28927 0.04996 0.02556 0.01349 0.02434 -0.0481 0.02565 17.39721 0.15119 -0.6487
1791.1 384.1 51.06125 34.25638 0.01005 0.00531 0.01005 0.00531 -1e-05 0.00299 14.75575 0.02885 -0.0006
1265.1 1702.2 51.13766 34.10105 0.02573 0.01859 0.0238 0.01903 0.00977 0.01574 16.99348 0.10795 0.1949
366.8 1720.2 51.26612 34.09959 0.00755 0.01969 0.00678 0.01725 0.00333 0.02759 17.10186 0.11848 0.2281
322.5 1320.1 51.27187 34.14712 0.00721 0.00402 0.00262 0.00271 -0.00672 0.00418 14.58235 0.02783 -0.5996
102.6 347.2 51.30114 34.26153 0.03443 0.0176 -0.0325 0.01475 0.01137 0.03262 17.00454 0.1096 1.4025
1467.4 1620.2 51.10852 34.11056 0.00225 0.0073 0.00224 0.00731 -0.00018 0.00527 15.48863 0.03729 -0.0398
316.8 548.9 51.27138 34.23799 0.01311 0.01087 0.00715 0.00743 -0.01099 0.01204 15.98008 0.04974 -0.4971
505.8 1677.9 51.2463 34.10458 0.02029 0.00709 0.01994 0.00698 -0.00374 0.00964 15.8401 0.04538 -0.0927
760.3 1844.3 51.21014 34.08459 0.01783 0.0098 0.00378 0.00873 -0.01742 0.00985 16.1063 0.05406 -0.6786
529.7 1858.0 51.24308 34.0831 0.00435 0.00298 0.00417 0.00291 -0.00122 0.00374 14.636 0.02808 -0.142
229.2 1859.8 51.28586 34.08297 0.03316 0.01807 0.02482 0.01266 -0.02198 0.02321 16.67965 0.08401 -0.3624
1211.1 856.6 51.14477 34.20146 0.01278 0.01988 -0.00571 0.02368 -0.01143 0.01882 17.19736 0.12797 -1.017
1907.0 626.8 51.04475 34.22765 0.02762 0.03538 0.0275 0.03551 -0.0026 0.01524 17.05939 0.11519 -0.0472
1194.5 1269.1 51.14751 34.15267 0.01806 0.01654 0.0054 0.01929 -0.01723 0.01624 17.00941 0.10938 -0.6334
