X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1377.9 728.6 51.12133 34.21599 0.03817 0.0252 -0.03817 0.0252 1e-05 0.01913 17.08179 0.08092 1.5707
1557.8 1312.2 51.09556 34.14649 0.01008 0.00884 0.00776 0.00989 -0.00644 0.00705 15.66766 0.02879 -0.3463
800.1 104.6 51.20326 34.28946 0.05489 0.02836 0.03603 0.02586 -0.04141 0.03012 17.63184 0.12738 -0.4274
1798.4 381.1 51.05974 34.25714 0.0137 0.00555 0.01285 0.00576 -0.00475 0.00359 14.78109 0.02051 -0.177
317.4 460.9 51.27229 34.24734 0.1925 0.02584 0.01254 0.01932 -0.1921 0.02587 16.97481 0.07443 -0.7528
243.3 268.6 51.28233 34.26978 0.06552 0.00922 0.03788 0.00595 -0.05346 0.01049 15.48208 0.0263 -0.4771
1381.9 1231.1 51.12107 34.15632 0.02091 0.00447 -0.00738 0.00525 -0.01956 0.00435 14.9687 0.02142 -0.9658
1205.2 1197.6 51.1466 34.16044 0.02707 0.00697 -0.02658 0.007 -0.00513 0.00609 15.43769 0.02548 -1.4754
109.9 338.8 51.30118 34.26148 0.01613 0.02994 -0.0115 0.01723 -0.0113 0.03895 17.13612 0.08571 -1.1826
805.1 509.8 51.2033 34.24182 0.00795 0.00811 0.00738 0.00795 0.00295 0.00901 15.82678 0.0313 0.19
1272.1 1538.3 51.13695 34.11988 0.05197 0.02798 0.04252 0.02955 -0.02989 0.02447 17.29338 0.09696 -0.3064
745.2 426.8 51.2117 34.25157 0.00383 0.00254 -0.00379 0.00253 0.00054 0.00286 14.1556 0.01853 1.5002
106.8 400.6 51.30173 34.25425 0.02266 0.01661 0.01818 0.01105 0.01353 0.02354 16.45036 0.04918 0.3199
116.1 676.7 51.3009 34.22199 0.05681 0.04197 -0.02079 0.01911 0.05287 0.04447 17.26966 0.09616 0.9727
323.4 541.6 51.27158 34.2379 0.04011 0.01313 0.02366 0.00877 -0.03239 0.01494 16.01811 0.03584 -0.47
509.4 1671.6 51.24606 34.10488 0.02351 0.01213 0.00507 0.0089 -0.02295 0.01227 15.88083 0.03271 -0.6767
232.3 1852.6 51.28513 34.08378 0.03777 0.02098 0.03076 0.01624 -0.02192 0.02806 16.74111 0.06204 -0.3096
328.6 1446.1 51.27165 34.13164 0.02042 0.01035 0.00628 0.00684 0.01943 0.01064 15.58666 0.02767 0.6292
665.0 1938.2 51.22383 34.07314 0.08464 0.03202 0.08122 0.03118 -0.02381 0.04062 17.71482 0.13829 -0.1426
325.3 1894.8 51.272 34.07869 0.04676 0.0167 0.00497 0.01121 -0.04649 0.01675 16.01672 0.03635 -0.7322
532.3 1851.8 51.24274 34.08355 0.00524 0.00369 0.00509 0.00363 0.00125 0.00469 14.64363 0.01987 0.1201
369.8 1712.9 51.26581 34.10013 0.04898 0.03229 -0.01163 0.0228 0.04758 0.03277 17.18896 0.08933 0.9052
326.7 1313.1 51.27188 34.1473 0.00229 0.00464 -0.00113 0.0033 -0.00199 0.005 14.57987 0.01966 -1.0442
