X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1383.7 478.0 51.11981 34.24568 0.01266 0.01749 -0.00991 0.01906 0.00788 0.01467 2.28841 0.58702 1.2351
1932.2 319.6 51.03978 34.26384 0.02389 0.00869 0.01454 0.01248 0.01895 0.00533 2.33348 0.61867 0.4581
1557.8 1311.8 51.09552 34.1465 0.02783 0.01175 0.01057 0.01676 -0.02574 0.01068 2.2955 0.59127 -0.5906
652.1 829.3 51.2251 34.20471 0.02177 0.01041 -0.00362 0.00792 -0.02146 0.01047 2.31305 0.60298 -0.869
143.1 1688.7 51.29793 34.10365 0.12408 0.02641 0.01182 0.0127 0.12352 0.0265 2.29115 0.58863 0.7377
801.9 512.1 51.20323 34.24192 0.03702 0.01435 0.03696 0.01435 0.00216 0.01545 2.29158 0.58889 0.0292
1794.9 380.1 51.05995 34.25684 0.0112 0.00862 0.00952 0.00964 0.0059 0.0051 2.33998 0.6241 0.2772
741.7 429.8 51.2116 34.25156 0.00349 0.00408 -0.0007 0.00346 0.00342 0.00411 2.40266 0.68574 0.8871
328.8 1450.8 51.27163 34.13163 0.03843 0.01159 0.03788 0.01139 -0.00647 0.01716 2.2973 0.59239 -0.0846
326.2 1318.1 51.27186 34.1473 0.00127 0.00452 0.00127 0.00447 0.00013 0.00788 2.3541 0.63657 0.0507
319.7 546.4 51.27142 34.23782 0.01071 0.02627 -0.00017 0.01522 0.01071 0.02627 2.28538 0.5853 0.7935
833.4 752.8 51.19921 34.21365 0.00303 0.00072 -0.00096 0.00067 0.00288 0.00073 nan nan 0.9462
1472.4 1617.2 51.108 34.11015 0.02734 0.0157 -0.02687 0.01584 -0.00501 0.01088 2.30051 0.59444 -1.4786
134.2 1940.3 51.29931 34.07385 0.55118 0.00669 0.00683 0.00641 -0.55113 0.00669 2.36033 0.64235 -0.7792
113.6 488.2 51.30011 34.24449 0.00348 0.00436 -0.00297 0.00305 0.00181 0.0067 2.40251 0.68558 1.2967
510.4 1675.6 51.24612 34.10484 0.01546 0.01449 0.01512 0.01428 -0.00324 0.01847 2.28836 0.587 -0.1057
400.4 1815.3 51.26175 34.08838 0.07582 0.0236 0.0743 0.02282 -0.01513 0.03767 2.27517 0.57988 -0.1004
1541.1 1780.6 51.09798 34.09038 0.06024 0.00583 0.06024 0.00583 -0.00063 0.00395 2.36805 0.64975 -0.0052
534.1 1856.0 51.24283 34.08337 0.00638 0.00535 0.0057 0.00506 0.00286 0.00638 2.34765 0.63076 0.2325
248.0 844.6 51.28211 34.20295 0.0173 0.00903 -0.00395 0.00492 -0.01685 0.0092 2.34289 0.62659 -0.9005
1487.1 1763.6 51.10586 34.09255 0.04992 0.02652 -0.04702 0.02738 0.01676 0.01848 2.27816 0.5814 1.3996
