X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1390.6 864.3 51.12005 34.19965 0.01122 0.00567 0.00737 0.00614 0.00846 0.00529 14.90699 0.02745 0.4271
1630.1 1207.9 51.08572 34.15829 0.02772 0.01625 -0.02152 0.01848 0.01746 0.0121 15.76032 0.05781 1.23
1379.4 723.6 51.12154 34.21626 0.01659 0.03146 -0.00515 0.03906 0.01578 0.03054 16.50547 0.11107 0.9431
1561.2 1306.8 51.09567 34.1466 0.03067 0.01404 0.02381 0.01553 -0.01933 0.01141 15.64753 0.05232 -0.341
769.2 1836.6 51.21047 34.08338 0.14201 0.02921 -0.03942 0.02255 0.13643 0.0297 15.8922 0.06601 0.926
1411.6 861.1 51.11704 34.2 0.00515 0.0121 0.00436 0.01277 0.00275 0.01024 15.57583 0.04901 0.2817
330.2 1313.1 51.27254 34.14671 0.00691 0.00831 -0.00092 0.00517 0.00685 0.00836 14.72691 0.02388 0.8522
