X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
527.7 1854.8 nan nan 0.01749 0.01549 0.00338 0.01156 0.01716 0.01562 nan nan 0.6882
827.4 588.8 nan nan 0.00503 0.00377 -0.00472 0.00376 -0.00173 0.00388 nan nan -1.3949
1441.6 404.8 nan nan 0.03467 0.02785 -0.02621 0.03156 0.0227 0.02195 nan nan 1.2139
584.6 114.6 nan nan 0.03358 0.01188 0.03223 0.01147 0.00943 0.01593 nan nan 0.1423
1534.6 1779.1 nan nan 0.06133 0.0138 0.06037 0.01392 0.01084 0.00907 nan nan 0.0888
231.8 272.4 nan nan 0.03568 0.04161 0.01886 0.02258 0.03029 0.04696 nan nan 0.5069
425.6 1558.5 nan nan 0.02934 0.02678 0.01322 0.01815 -0.02619 0.02857 nan nan -0.5517
542.7 416.6 nan nan 0.06886 0.02214 0.0658 0.02166 -0.02031 0.02668 nan nan -0.1497
1820.2 1742.4 nan nan 0.04561 0.0175 -0.045 0.01769 0.00746 0.00846 nan nan 1.4886
1600.2 1423.4 nan nan 0.19978 0.0261 0.00051 0.04394 -0.19977 0.0261 nan nan -0.7841
687.6 1545.7 nan nan 0.02192 0.01529 0.01963 0.01478 -0.00974 0.01724 nan nan -0.2303
322.4 1449.8 nan nan 0.07436 0.03581 -0.04174 0.02387 0.06154 0.04013 nan nan 1.0834
