X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
321.2 543.4 51.27201 34.23844 0.02777 0.01389 0.00162 0.00775 -0.02772 0.0139 16.04074 0.06653 -0.7563
249.5 841.6 51.28253 34.20309 0.00908 0.00522 0.00169 0.00309 -0.00892 0.00528 14.69792 0.03318 -0.6919
511.9 1672.6 51.246 34.10481 0.01826 0.00958 0.00995 0.00739 0.01531 0.01036 15.9025 0.06015 0.4972
221.9 185.4 51.28562 34.28117 0.00597 0.03773 0.00402 0.02233 -0.00441 0.04682 17.67169 0.24753 -0.4159
372.6 1714.7 51.26578 34.10006 0.04093 0.02891 -0.00317 0.01793 0.04081 0.02896 17.28541 0.17985 0.8242
1271.3 1696.4 51.13768 34.10106 0.01913 0.01778 0.00826 0.02015 0.01726 0.01719 17.16202 0.16209 0.5622
316.5 869.6 51.27305 34.19971 0.00987 0.0044 0.00881 0.00381 -0.00445 0.00618 15.01463 0.03684 -0.2338
235.2 1854.6 51.28526 34.08387 0.02196 0.02184 0.00795 0.01311 -0.02047 0.02287 16.81881 0.12247 -0.6001
1473.7 1614.2 51.10852 34.11051 0.00853 0.00736 0.00756 0.00771 -0.00396 0.0059 15.51036 0.04683 -0.2413
106.9 341.5 51.30216 34.2626 0.02234 0.03036 -0.01273 0.01572 0.01836 0.0353 17.13742 0.15972 1.0886
1559.2 1308.8 51.0958 34.14653 0.00458 0.00869 0.00454 0.00873 0.00059 0.00609 15.66282 0.05133 0.0651
535.6 1853.0 51.24275 34.08364 0.0053 0.00403 -0.00043 0.00315 -0.00528 0.00404 14.64173 0.03265 -0.8263
1796.4 377.1 51.05983 34.25751 0.00821 0.00356 0.00264 0.00536 0.00777 0.00328 14.75248 0.03372 0.6216
1382.9 1228.6 51.12109 34.15621 0.00565 0.00463 -0.00558 0.00465 -0.00092 0.00388 14.94914 0.0359 -1.4887
136.0 1937.1 51.29929 34.07438 0.55415 0.00383 0.01135 0.00383 -0.55404 0.00383 14.50227 0.03165 -0.7752
1384.9 475.0 51.11958 34.24598 0.00256 0.00816 0.00089 0.00966 0.0024 0.00794 15.96149 0.06267 0.6081
1200.2 1263.4 51.14739 34.15227 0.02564 0.01941 -0.02357 0.01965 -0.01011 0.01805 17.2005 0.16727 -1.3681
1206.2 1196.1 51.14645 34.16023 0.00841 0.00594 0.00815 0.00596 0.00208 0.00563 15.44014 0.04494 0.1249
743.2 426.8 51.21168 34.25209 0.00505 0.00267 -0.00173 0.00235 0.00474 0.00272 14.12169 0.02963 0.9607
104.1 403.5 51.30264 34.25522 0.0181 0.01905 0.00985 0.00975 0.01519 0.02181 16.48738 0.09381 0.4977
1216.1 850.6 51.14454 34.20125 0.02317 0.02195 -0.00323 0.02421 0.02295 0.0219 17.39482 0.19652 0.8554
1469.2 555.6 51.10757 34.23629 0.03626 0.0251 0.02585 0.02896 0.02543 0.02034 17.43381 0.20314 0.3886
1580.2 1202.7 51.09263 34.15909 0.03296 0.02988 -0.03251 0.03012 -0.0054 0.0197 17.49061 0.21278 -1.4884
327.8 1315.1 51.27187 34.14707 0.0052 0.0037 0.00391 0.00291 0.00344 0.00451 14.57633 0.03215 0.3606
1542.6 1777.6 51.09878 34.09116 0.06546 0.00352 0.06539 0.00352 -0.00297 0.00274 14.42744 0.03112 -0.0227
