X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1801.1 378.1 51.06068 34.2563 0.01075 0.0066 -0.00294 0.01089 -0.01034 0.00612 14.87425 0.02484 -0.9237
1563.8 1309.8 51.09649 34.14707 0.03084 0.01637 -0.02122 0.01935 -0.02238 0.01311 15.5437 0.04395 -1.1647
1566.7 496.8 51.09478 34.24297 0.08181 0.03438 -0.00953 0.04591 0.08125 0.0342 16.2331 0.08055 0.8438
255.3 842.9 51.28225 34.20312 0.00848 0.0066 -0.00799 0.00568 -0.00286 0.01146 14.81277 0.02364 -1.3987
1915.0 782.3 51.04515 34.20852 0.10045 0.03998 0.10021 0.04007 0.00699 0.01606 15.79333 0.05586 0.0348
245.6 271.9 51.28214 34.26958 0.05538 0.01762 0.04051 0.01136 0.03775 0.02279 15.4559 0.04091 0.3751
1204.1 1929.4 51.14811 34.07384 0.04814 0.00676 -0.04801 0.00676 0.00355 0.00657 14.72591 0.02184 1.5338
1389.7 476.0 51.12015 34.24572 0.02984 0.01991 0.02881 0.02012 -0.00778 0.01668 15.77215 0.05339 -0.1318
1226.5 1680.8 51.14501 34.10357 0.03781 0.00884 -0.01657 0.00933 -0.03399 0.00873 15.03407 0.02819 -1.0121
1454.9 403.8 51.11059 34.25405 0.03415 0.01357 -0.0248 0.01516 -0.02347 0.01154 15.42679 0.03954 -1.1919
839.9 750.8 51.19932 34.21411 0.00569 0.00087 -0.00135 0.00079 0.00553 0.00088 12.07759 0.008 0.9051
741.9 807.8 51.21336 34.20745 0.00688 0.00812 0.00498 0.00724 -0.00475 0.009 14.97889 0.02683 -0.3808
771.8 1839.6 51.20987 34.08521 0.03599 0.02394 -0.02828 0.02291 0.02225 0.02552 15.85401 0.05772 1.2375
658.6 827.6 51.22521 34.20513 0.02404 0.01178 -0.0054 0.00887 -0.02342 0.01192 15.21373 0.0328 -0.8986
326.7 544.9 51.27152 34.23798 0.0666 0.02906 0.00429 0.01632 -0.06647 0.0291 15.77651 0.05404 -0.7531
335.8 1448.6 51.27164 34.13183 0.01434 0.01264 -0.01409 0.01225 0.00269 0.02065 15.54952 0.04415 1.4765
334.1 1897.3 51.27187 34.07843 0.02472 0.02094 -0.02447 0.02044 0.00347 0.03823 15.75436 0.05434 1.5004
541.1 1853.5 51.24261 34.08366 0.01421 0.00627 0.01353 0.00603 -0.00436 0.00825 14.77805 0.02278 -0.1558
1547.1 1778.6 51.09893 34.09112 0.08114 0.00677 0.08016 0.0068 -0.01262 0.00514 14.5683 0.01934 -0.0781
1478.4 1615.2 51.10886 34.11087 0.02905 0.01839 0.0277 0.01886 -0.00876 0.01272 15.44597 0.04054 -0.1532
1210.9 1196.9 51.14705 34.16118 0.01563 0.01319 0.01558 0.0132 -0.00116 0.01196 15.377 0.03782 -0.0371
1387.7 1229.6 51.12174 34.15699 0.01196 0.00798 0.00403 0.0095 -0.01126 0.00777 15.00034 0.02739 -0.6134
