X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
593.6 106.7 51.23207 34.28827 0.02115 0.00996 0.01199 0.00836 -0.01742 0.01063 0.55565 1.30217 -0.484
1896.0 139.1 51.0438 34.28434 0.07168 0.05095 0.05764 0.06066 0.0426 0.02478 nan nan 0.3182
551.6 408.6 51.23893 34.25304 0.02787 0.01861 0.00899 0.0134 -0.02638 0.01913 nan nan -0.6212
1934.2 309.5 51.03863 34.2641 0.03116 0.02017 0.03025 0.02067 -0.00747 0.00842 1.29834 1.77077 -0.121
1608.7 1415.4 51.0882 34.13274 0.0403 0.03059 0.03819 0.03162 -0.01286 0.01931 nan nan -0.1624
1796.9 370.1 51.05907 34.2571 0.02588 0.00874 -0.00646 0.01644 0.02506 0.00796 0.9107 1.51073 0.9116
1206.7 1189.6 51.14666 34.16057 0.01701 0.01489 0.00145 0.01883 0.01695 0.01486 nan nan 0.7427
116.1 478.9 51.30021 34.2445 0.04435 0.0116 0.00701 0.00456 -0.0438 0.01172 -0.48754 0.86706 -0.7061
321.9 537.2 51.2716 34.23789 0.15633 0.04032 0.03238 0.02335 0.15294 0.04091 nan nan 0.6811
696.1 1537.7 51.22015 34.11991 0.0236 0.01106 -0.02252 0.0109 -0.00704 0.01256 2.58349 2.81558 -1.4193
536.6 1846.0 51.24277 34.08344 0.03569 0.00814 0.03565 0.00813 -0.00177 0.01094 0.68808 1.37645 -0.0248
1543.1 1771.1 51.09778 34.09014 0.07502 0.00973 0.075 0.00973 0.00167 0.00671 0.05596 1.06078 0.0111
1474.4 1608.2 51.10789 34.10994 0.01145 0.02197 -0.00865 0.02443 0.0075 0.01817 nan nan 1.2139
1222.1 1673.3 51.1446 34.10275 0.04016 0.01091 0.00112 0.01221 -0.04014 0.0109 2.6649 2.88848 -0.7715
1570.2 1449.5 51.09385 34.12875 0.00709 0.0069 -0.00198 0.01017 -0.00681 0.00655 0.12815 1.09182 -0.9268
331.6 1441.6 51.27165 34.13168 0.01888 0.01704 0.0186 0.01651 0.00324 0.02945 nan nan 0.0863
