X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
118.6 486.2 51.30021 34.24447 0.00447 0.00362 -0.00447 0.00362 -7e-05 0.00773 -0.4487 0.8928 -1.5629
1936.4 317.1 51.04078 34.26367 0.0839 0.01683 0.08367 0.01687 0.00614 0.00632 1.25657 1.7687 0.0366
268.6 1461.7 51.28095 34.13003 0.07188 0.01621 0.01011 0.00846 0.07116 0.01633 nan nan 0.7148
1565.9 340.8 51.09419 34.26134 0.07049 0.01364 -0.06993 0.01371 -0.00888 0.00831 nan nan -1.5076
1799.1 377.4 51.0607 34.25675 0.00822 0.01175 0.00795 0.01204 -0.00208 0.00603 1.00822 1.59873 -0.1281
1452.9 403.1 51.11053 34.25411 0.04221 0.01758 -0.03988 0.01818 -0.01383 0.01146 nan nan -1.4039
1387.4 475.0 51.12007 34.2457 0.02965 0.0169 0.00412 0.02434 0.02936 0.01672 nan nan 0.7157
253.3 842.4 51.28212 34.20293 0.01553 0.00601 -0.01526 0.00579 -0.0029 0.01039 0.95778 1.5658 -1.477
139.8 1937.1 51.29953 34.07376 0.55699 0.00824 -0.00049 0.00734 -0.55699 0.00824 0.35362 1.21745 -0.7858
331.2 1315.3 51.2719 34.1473 0.01543 0.00855 -0.00075 0.00516 -0.01541 0.00856 0.46914 1.27725 -0.8096
539.1 1853.0 51.24276 34.08334 0.00781 0.00691 0.00416 0.0059 -0.00661 0.00728 0.77528 1.45147 -0.5045
148.4 1685.9 51.29817 34.10356 0.07587 0.03017 -0.01047 0.01445 0.07515 0.03039 nan nan 0.8546
1562.2 1309.2 51.09584 34.14649 0.02212 0.01198 0.00066 0.022 -0.02211 0.01197 nan nan -0.7705
