X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
325.2 1313.8 51.27186 34.1471 0.00514 0.00397 -0.00122 0.0027 -0.00499 0.00403 14.54369 0.03315 -0.9049
793.6 103.4 51.20357 34.29065 0.02586 0.02227 -0.00269 0.01843 -0.02572 0.0223 17.58914 0.2009 -0.8376
1576.6 132.2 51.09069 34.28685 0.01321 0.04374 -0.01249 0.04514 -0.00431 0.02945 18.62005 0.45391 -1.4048
508.7 1671.6 51.24606 34.10479 0.00196 0.00752 0.00106 0.00624 -0.00164 0.00799 15.86078 0.05379 -0.4991
1470.6 1613.2 51.10851 34.1105 0.00153 0.00642 0.00139 0.00667 -0.00065 0.00507 15.49274 0.04416 -0.2175
665.8 1937.4 51.22388 34.07342 0.05113 0.02479 0.01081 0.02146 -0.04997 0.02493 17.7857 0.23581 -0.6789
219.1 183.7 51.2857 34.28131 0.01797 0.02978 0.00863 0.01673 -0.01576 0.0327 17.60404 0.20388 -0.5348
1559.2 494.7 51.09399 34.24336 0.02075 0.01317 -0.01379 0.01541 -0.0155 0.01108 16.80631 0.10629 -1.1489
800.9 508.0 51.20321 34.24224 0.00642 0.00678 0.00255 0.00589 0.00589 0.00693 15.77342 0.05107 0.5811
1268.1 1695.2 51.13771 34.10108 0.01323 0.01344 0.00197 0.01492 0.01308 0.0134 17.06127 0.13038 0.7108
651.1 825.1 51.22507 34.20461 0.00955 0.00488 0.00165 0.00396 0.0094 0.0049 15.16195 0.03856 0.6984
111.1 677.9 51.30165 34.22251 0.01474 0.0292 0.0019 0.01247 0.01462 0.0294 17.23238 0.15052 0.7207
1793.4 376.1 51.05974 34.25746 0.00881 0.00381 0.00595 0.00462 0.0065 0.00297 14.73066 0.03432 0.4148
318.5 542.1 51.27207 34.2385 0.01309 0.00767 0.01139 0.0063 0.00646 0.01086 15.99639 0.05864 0.258
314.1 868.1 51.27307 34.19978 0.0086 0.00503 0.00379 0.00343 0.00772 0.00535 14.98099 0.03647 0.5575
585.4 1384.3 51.23497 34.1385 0.01141 0.02747 -0.00876 0.02385 -0.00731 0.03195 18.28412 0.35047 -1.223
532.6 1851.5 51.24275 34.08367 0.00325 0.00359 0.00019 0.00292 -0.00324 0.00359 14.60337 0.03347 -0.7559
516.2 383.6 51.24371 34.25727 0.03686 0.01735 -0.03634 0.01695 -0.00619 0.02787 17.5757 0.19896 -1.4865
763.8 1837.6 51.2099 34.08499 0.00474 0.00777 -0.00404 0.00756 0.00248 0.0083 16.11538 0.06331 1.2949
1755.4 1692.5 51.06751 34.1008 0.03842 0.03289 -0.02932 0.03911 0.02482 0.02137 18.1667 0.32034 1.2196
