X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
870.6 1888.8 51.19344 34.07836 0.00417 0.00334 0.0034 0.00336 0.00241 0.0033 14.84884 0.05676 0.3083
315.1 540.4 51.27157 34.23798 0.01567 0.00888 0.01376 0.00772 -0.00749 0.01199 16.01471 0.09709 -0.2491
216.9 181.7 51.28483 34.27989 0.04815 0.0394 0.00503 0.02431 -0.04789 0.03953 17.1932 0.2399 -0.7331
107.2 675.2 51.3011 34.22206 0.07476 0.03216 0.00287 0.01588 0.07471 0.03218 16.96396 0.19955 0.7662
361.3 1711.2 51.26597 34.09973 0.0133 0.02385 0.00173 0.01632 -0.01318 0.02395 16.96958 0.20029 -0.7203
1790.1 380.4 51.06063 34.25671 0.01106 0.0054 0.01083 0.00547 0.00222 0.00316 14.84634 0.05677 0.1011
513.0 382.6 51.24331 34.25658 0.03711 0.02422 0.03667 0.02405 -0.0057 0.03055 17.13019 0.22797 -0.0771
736.9 425.1 51.21158 34.25167 0.01002 0.0025 -0.0029 0.00239 0.00959 0.00251 14.24044 0.05167 0.9322
223.5 1850.6 51.28552 34.08317 0.01821 0.01982 -0.00562 0.01195 -0.01732 0.02047 16.63077 0.15306 -0.9424
308.8 866.1 51.27288 34.19972 0.0044 0.00382 -0.00439 0.00381 -0.00032 0.0056 15.11282 0.06118 -1.5347
1325.9 504.6 51.12757 34.24229 0.01607 0.00673 -0.01587 0.00676 0.00252 0.00495 15.44418 0.06984 1.4922
1462.2 557.1 51.10806 34.23606 0.02694 0.03096 -0.02694 0.03097 0.00042 0.01835 16.97869 0.20202 1.5629
242.2 837.8 51.28225 34.20302 0.00406 0.00427 -0.00246 0.00306 0.00323 0.00483 14.82229 0.05643 1.1109
754.8 1836.8 51.20999 34.08463 0.02565 0.00865 0.0242 0.00863 0.00851 0.00877 16.10622 0.1033 0.1691
523.9 1850.1 51.24288 34.08315 0.00481 0.00337 -0.00316 0.00299 0.00362 0.00364 14.75434 0.05559 1.1442
500.5 1669.6 51.2462 34.10465 0.00594 0.00819 0.00285 0.00686 0.00521 0.00855 15.89916 0.08994 0.535
1208.6 851.4 51.14473 34.20143 0.01772 0.02447 -0.01571 0.02573 -0.00819 0.01913 17.01129 0.20718 -1.3305
1396.2 1187.5 51.11802 34.1615 0.03749 0.03335 0.02481 0.04054 -0.02811 0.02642 17.4346 0.2906 -0.4238
1190.5 1263.4 51.14758 34.15263 0.02201 0.01943 0.0215 0.01962 -0.00474 0.01501 16.84964 0.18195 -0.1084
320.1 1444.3 51.27173 34.13142 0.01095 0.00773 -0.00458 0.0054 0.00994 0.00814 15.62672 0.07658 1.0013
