X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1503.8 1617.9 51.10438 34.1099 0.06782 0.02797 -0.0232 0.03812 -0.06373 0.02634 17.40464 0.36196 -0.96
800.6 106.1 51.20317 34.28968 0.03895 0.02208 0.00089 0.01959 -0.03894 0.02208 17.10167 0.28542 -0.774
1582.8 134.2 51.09068 34.28638 0.04774 0.03909 -0.03118 0.04797 -0.03615 0.03086 17.52561 0.39732 -1.1413
1388.4 476.0 51.11964 34.24585 0.00971 0.00773 -0.00844 0.00808 0.00479 0.00651 15.91819 0.11401 1.3125
325.4 544.9 51.2716 34.23795 0.02524 0.01063 0.00698 0.00634 -0.02425 0.01091 15.98009 0.11917 -0.6452
515.7 1673.6 51.24611 34.10488 0.01036 0.00615 0.01033 0.00614 0.00087 0.00798 15.86973 0.11022 0.0423
108.6 405.0 51.30181 34.25434 0.022 0.01734 0.00863 0.00804 -0.02024 0.01854 16.32894 0.15484 -0.5839
539.6 1854.0 51.24277 34.08354 0.00804 0.00283 0.00733 0.00271 -0.00331 0.00337 14.74226 0.06324 -0.212
1799.6 378.1 51.05971 34.25728 0.00312 0.0046 0.00312 0.0046 0.00011 0.00277 14.84616 0.0652 0.0168
1352.3 1675.7 51.12633 34.1033 0.04094 0.01714 -0.04074 0.01718 0.00401 0.01342 16.79964 0.22444 1.5217
140.2 1938.1 51.29918 34.07424 0.56394 0.0032 0.00489 0.00329 -0.56392 0.0032 14.61935 0.06135 -0.7811
1209.7 1197.1 51.14657 34.16039 0.00107 0.00488 0.00073 0.00516 -0.00078 0.00462 15.48307 0.08624 -0.41
1899.0 1783.5 51.04685 34.08933 0.01883 0.02018 0.00889 0.03227 -0.0166 0.01501 17.00645 0.26481 -0.5396
332.2 1316.1 51.27181 34.14724 0.00821 0.00343 0.00491 0.00253 -0.00657 0.00384 14.69674 0.06249 -0.4645
1930.2 1704.0 51.04227 34.09877 0.00235 0.03861 -0.00224 0.04021 0.00071 0.01482 16.9927 0.26209 1.4183
746.9 428.1 51.2116 34.2517 0.00749 0.00219 -0.00482 0.00204 0.00573 0.00229 14.24795 0.05746 1.1354
254.1 842.9 51.28222 34.20294 0.00295 0.00292 -0.00279 0.00267 0.00096 0.00447 14.81004 0.06448 1.4054
363.9 1562.4 51.26753 34.11818 0.03823 0.02672 0.03755 0.02591 0.00716 0.04339 17.41763 0.36565 0.0941
