X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1937.4 324.6 51.03955 34.26368 0.04089 0.01537 0.03553 0.01713 0.02024 0.00776 14.91404 0.04217 0.2589
597.6 115.9 51.23212 34.28812 0.00626 0.00834 0.0049 0.00689 0.00389 0.01023 14.71314 0.03547 0.3358
739.1 809.3 51.21342 34.20707 0.01303 0.00889 -0.01202 0.00859 -0.00501 0.01045 14.95884 0.04326 -1.3732
1799.9 384.1 51.05983 34.25676 0.03103 0.01307 0.02772 0.01416 0.01393 0.00729 14.85112 0.03988 0.2329
655.6 829.1 51.22529 34.20474 0.01276 0.01352 0.00754 0.01117 -0.01029 0.01463 15.19677 0.05299 -0.4692
244.8 271.7 51.28195 34.26958 0.07166 0.0221 0.04636 0.01393 -0.05465 0.02646 15.40629 0.06382 -0.4336
1540.9 1783.6 51.09753 34.09019 0.04793 0.00823 0.04792 0.00823 0.00074 0.0056 14.55052 0.0312 0.0077
1567.2 346.6 51.09377 34.26137 0.04697 0.01344 0.03839 0.01473 0.02706 0.01038 15.07779 0.04802 0.307
118.8 486.2 51.30001 34.24447 0.01461 0.00935 0.00344 0.00399 -0.0142 0.00957 14.33604 0.0267 -0.6665
134.0 1937.8 51.2991 34.07381 0.55491 0.0096 0.00157 0.00863 -0.5549 0.0096 14.61523 0.03298 -0.784
746.7 430.1 51.21177 34.25158 0.0058 0.00584 -0.00036 0.0047 0.00579 0.00584 14.30147 0.02589 0.8163
837.1 753.2 51.19941 34.21366 0.00375 0.00092 -0.0002 0.00084 0.00375 0.00092 12.07566 0.01311 0.8124
510.4 1674.6 51.24618 34.10482 0.01157 0.01852 0.01156 0.01852 -0.00031 0.02757 15.65516 0.0789 -0.0134
1387.9 480.5 51.11996 34.24566 0.06646 0.02087 -0.00035 0.02642 0.06646 0.02087 15.67238 0.08011 0.7881
143.4 1686.2 51.29788 34.10365 0.02818 0.04013 -0.00299 0.01641 0.02802 0.04032 15.60134 0.0761 0.8385
1383.4 1234.0 51.121 34.15631 0.02533 0.00962 0.0118 0.0113 -0.02241 0.0091 15.00079 0.04485 -0.543
533.9 1855.0 51.24274 34.08334 0.00392 0.0085 0.00231 0.00665 0.00316 0.00933 14.74783 0.03639 0.4706
1559.2 1315.0 51.09533 34.14635 0.05101 0.02032 0.03857 0.02285 -0.03338 0.01635 15.48824 0.06833 -0.3567
637.2 1921.8 51.22798 34.07526 0.05165 0.03967 0.03076 0.03351 0.04149 0.04268 16.00751 0.10725 0.4664
764.8 1841.8 51.20985 34.08464 0.0376 0.02789 0.0055 0.02584 -0.0372 0.02793 15.80064 0.08948 -0.712
251.6 842.8 51.28218 34.20297 0.01538 0.01246 -0.0066 0.00656 -0.0139 0.01344 14.79244 0.0379 -1.007
1826.9 1748.2 51.05549 34.09372 0.02087 0.01117 0.0206 0.01128 0.00334 0.00532 14.5777 0.03205 0.0804
328.0 1316.1 51.27192 34.14736 0.01776 0.01069 -0.00252 0.00587 -0.01758 0.01076 14.67319 0.03438 -0.8566
