X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1342.6 1672.2 51.12658 34.10347 0.01357 0.0182 0.00658 0.02232 -0.01187 0.01673 16.80405 0.18725 -0.5323
216.4 182.4 51.28492 34.27994 0.11718 0.04659 0.00668 0.02133 -0.11699 0.04665 17.06993 0.23211 -0.7569
101.1 338.4 51.30155 34.26166 0.02695 0.03301 -0.00709 0.01491 -0.026 0.03397 16.81889 0.18963 -0.9185
1377.7 1225.8 51.12117 34.15642 0.00786 0.00435 -0.00668 0.00456 -0.00414 0.00376 15.07337 0.06301 -1.2935
1920.6 1700.2 51.04335 34.09916 0.05676 0.04106 -0.05501 0.04209 0.01397 0.01862 17.0224 0.22339 1.4464
737.7 424.1 51.21147 34.25157 0.00784 0.0026 -0.00421 0.00232 0.00662 0.00271 14.28295 0.05384 1.0688
315.6 540.7 51.27161 34.23795 0.03482 0.01402 0.0065 0.00756 -0.03421 0.0142 15.98913 0.10112 -0.6915
244.2 838.8 51.28224 34.20295 0.00204 0.00441 0.00135 0.0031 0.00153 0.0052 14.83196 0.05886 0.4229
108.3 676.7 51.30119 34.22201 0.02836 0.03597 -0.00112 0.01624 0.02834 0.03599 16.90008 0.20235 0.8052
1790.9 374.3 51.06068 34.25685 0.00664 0.00457 0.00487 0.00546 0.00451 0.00322 14.88815 0.05971 0.3734
324.9 1445.1 51.27164 34.13152 0.01627 0.00897 -0.00523 0.00575 0.01541 0.00927 15.63148 0.08085 0.949
1553.8 1306.2 51.09596 34.14665 0.00464 0.00788 0.0036 0.00892 -0.00292 0.00595 15.70286 0.08422 -0.3404
506.2 1670.1 51.2461 34.10477 0.00398 0.00969 -0.00144 0.00746 0.00371 0.00999 15.9071 0.09564 0.9707
