X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
215.4 181.4 51.28466 34.27982 0.08975 0.03828 -0.00074 0.02023 0.08974 0.03828 17.16919 0.20588 0.7895
1887.8 1778.0 51.04756 34.08953 0.07699 0.03583 0.07074 0.03826 -0.0304 0.01759 17.04506 0.18613 -0.2029
1466.9 1610.2 51.10856 34.1104 0.00948 0.00633 -0.00579 0.0073 -0.0075 0.00567 15.50933 0.05846 -1.1141
875.5 1613.4 51.1935 34.11086 0.0018 0.00393 0.00179 0.00393 -0.00017 0.00418 15.01094 0.04596 -0.0479
1601.5 1417.9 51.08893 34.13315 0.0085 0.00761 0.00563 0.00906 -0.00637 0.00624 15.7723 0.06893 -0.4234
321.8 1311.1 51.27187 34.14716 0.00787 0.00434 0.00348 0.00289 -0.00706 0.00462 14.68011 0.04144 -0.5564
760.5 1834.6 51.20998 34.08472 0.03728 0.00895 0.03663 0.00891 -0.00693 0.00996 16.07801 0.08561 -0.0935
790.1 100.4 51.20294 34.28963 0.01513 0.02438 -0.00689 0.02216 -0.01347 0.02492 17.14816 0.20205 -1.0217
505.8 1668.6 51.24611 34.10473 0.00929 0.00906 0.00475 0.00709 0.00799 0.00966 15.85832 0.07309 0.5169
1562.8 1452.0 51.09457 34.12914 0.00613 0.00361 -0.00602 0.00364 0.00112 0.00271 14.53029 0.04004 1.479
1462.7 551.6 51.10758 34.23637 0.02506 0.01741 -0.00507 0.02442 -0.02454 0.01705 16.99991 0.17895 -0.8873
1718.9 1276.2 51.07174 34.14991 0.02088 0.02087 0.0172 0.02361 -0.01183 0.01333 16.78046 0.14952 -0.3012
1905.0 616.3 51.04349 34.22838 0.03369 0.02831 -0.02736 0.03325 -0.01965 0.0146 16.91139 0.16676 -1.2594
1481.3 1756.2 51.10655 34.09292 0.0086 0.01187 0.00683 0.0128 0.00522 0.01009 16.31596 0.10275 0.3261
1264.6 1692.2 51.13777 34.10093 0.02737 0.01739 0.02474 0.01766 0.01171 0.01613 16.8402 0.15685 0.2211
310.2 865.6 51.27288 34.19963 0.00695 0.00484 0.00506 0.00368 0.00475 0.00589 15.06207 0.04692 0.377
529.1 1849.0 51.24284 34.08332 0.0058 0.00315 0.0058 0.00315 -0.00012 0.00398 14.69498 0.04159 -0.0107
1555.7 491.9 51.09397 34.24339 0.02856 0.01763 -0.02553 0.01869 0.01279 0.01251 16.6396 0.13322 1.3387
1710.1 1602.3 51.07332 34.11093 0.04022 0.02285 0.03872 0.02339 -0.01088 0.01443 16.77852 0.14932 -0.137
315.1 539.6 51.27153 34.23792 0.02613 0.01232 0.00552 0.00715 -0.02554 0.0125 15.97755 0.07959 -0.679
1214.8 1675.6 51.14493 34.10299 0.01111 0.00401 -0.00383 0.00422 -0.01043 0.00398 15.03074 0.04631 -0.9612
736.7 423.1 51.21146 34.25168 0.00798 0.00236 -0.00722 0.00231 0.00339 0.0026 14.19531 0.03792 1.3514
1199.4 1192.1 51.14671 34.16055 0.00209 0.00564 -0.00209 0.00564 -0.00015 0.00506 15.45079 0.05649 -1.5343
1789.1 373.1 51.05976 34.25738 0.00182 0.00483 0.00167 0.00509 0.00073 0.00317 14.80272 0.04289 0.2077
581.9 1381.6 51.23512 34.13865 0.047 0.03215 0.03984 0.02908 0.02494 0.0389 17.5438 0.27868 0.2797
243.5 837.8 51.28224 34.20291 0.00512 0.00458 0.00285 0.00308 -0.00425 0.00512 14.76909 0.04246 -0.4895
662.8 1934.4 51.22389 34.07299 0.04657 0.02556 0.04547 0.02522 -0.01008 0.0317 17.29174 0.2273 -0.109
