X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
528.9 1847.5 51.24276 34.08355 0.007 0.00475 -0.00483 0.00417 -0.00507 0.00523 14.60215 0.045 -1.166
802.1 505.8 51.20331 34.24185 0.01623 0.01074 -0.01446 0.01039 0.00737 0.01198 15.71116 0.0807 1.3351
323.5 1309.1 51.27178 34.14725 0.00225 0.00493 0.00177 0.00381 0.00139 0.00633 14.59282 0.0449 0.3323
260.0 1454.7 51.28071 34.13013 0.01319 0.00646 0.01264 0.00598 0.00379 0.01042 15.15027 0.05678 0.1457
325.6 1441.8 51.2715 34.13162 0.02282 0.01339 0.00252 0.00797 0.02268 0.01344 15.50864 0.07033 0.73
114.1 478.1 51.30026 34.2447 0.01311 0.00541 0.00142 0.00253 -0.01303 0.00543 14.12241 0.04029 -0.7311
228.5 1847.8 51.28501 34.08382 0.08511 0.02904 0.06095 0.02206 0.05941 0.0349 16.54951 0.15554 0.3863
1535.1 1776.6 51.09819 34.09065 0.05328 0.00465 0.05327 0.00465 0.00087 0.00336 14.40393 0.04261 0.0082
1467.1 1613.2 51.10816 34.11026 0.00506 0.00859 -0.00153 0.01137 -0.00483 0.00826 15.43215 0.06694 -0.939
1932.7 317.9 51.03876 34.26434 0.00406 0.00529 -0.00149 0.00957 0.00378 0.00425 14.80358 0.04846 0.9732
247.2 835.3 51.28216 34.20294 0.00927 0.0045 0.00862 0.00388 0.0034 0.00733 14.68853 0.04634 0.1879
759.8 1834.3 51.21001 34.08484 0.0484 0.01482 0.02689 0.01423 0.04024 0.01508 16.00715 0.10061 0.4908
1560.7 495.5 51.09377 34.24322 0.0303 0.02954 -0.02962 0.02988 -0.00641 0.02089 16.60897 0.16296 -1.4642
