X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
797.3 105.9 51.20359 34.29068 0.01973 0.02353 -0.01956 0.02349 0.00258 0.02582 17.6808 0.19387 1.5052
320.9 543.6 51.27211 34.23847 0.02302 0.01027 0.01817 0.00796 -0.01413 0.01324 16.02356 0.05079 -0.3306
1577.2 1206.2 51.09264 34.15912 0.02783 0.0203 -0.00483 0.03097 -0.02741 0.01987 17.4742 0.16394 -0.8727
742.9 428.1 51.21174 34.2521 0.00225 0.00253 -0.00174 0.00242 0.00142 0.0027 14.14168 0.02325 1.2292
1561.7 499.7 51.09392 34.24337 0.02583 0.01729 -0.017 0.02032 -0.01945 0.01456 16.94652 0.10526 -1.1445
1203.2 1198.6 51.14647 34.1602 0.00316 0.00587 -0.00229 0.00614 -0.00217 0.00554 15.44358 0.03486 -1.1922
104.3 402.8 51.30283 34.25536 0.0231 0.01891 0.01369 0.01016 0.01861 0.02226 16.46529 0.07149 0.4683
113.3 678.7 51.30169 34.22252 0.02215 0.021 -0.02063 0.01693 -0.00804 0.03819 17.27463 0.13951 -1.385
315.0 869.4 51.27313 34.19976 0.00312 0.00598 -0.00129 0.00402 0.00284 0.0063 15.03473 0.0289 0.9976
1556.2 1312.2 51.09578 34.14656 0.00936 0.00862 0.00893 0.00883 -0.00279 0.00614 15.66719 0.03983 -0.1514
1795.9 381.4 51.05977 34.25757 0.00773 0.0055 0.00764 0.00554 0.00118 0.00333 14.76971 0.02645 0.0765
248.5 841.3 51.28257 34.20313 0.00434 0.00338 -0.00421 0.00321 -0.00106 0.00533 14.7051 0.02595 -1.447
1713.4 1610.6 51.07344 34.11119 0.02535 0.01822 -0.00874 0.02959 -0.0238 0.01609 17.07481 0.11799 -0.9613
131.7 1936.1 51.29926 34.07444 0.55868 0.00388 0.00912 0.00407 -0.55861 0.00388 14.47497 0.02463 -0.7772
531.6 1853.2 51.24267 34.08365 0.0047 0.00332 0.00468 0.00332 -0.00038 0.00411 14.62762 0.0254 -0.0401
664.2 1939.4 51.22386 34.07342 0.04282 0.03029 -0.04024 0.02975 0.01464 0.03413 17.84525 0.22285 1.3964
327.4 1447.8 51.27157 34.13143 0.00337 0.00654 0.00315 0.00602 -0.00118 0.00946 15.5776 0.03778 -0.1786
878.1 1891.8 51.19342 34.07878 0.0122 0.00382 0.00429 0.00368 0.01143 0.00384 14.7382 0.02613 0.606
231.3 1854.3 51.2852 34.08387 0.02569 0.02331 0.01174 0.01405 -0.02285 0.02519 16.73318 0.08892 -0.5481
1267.1 1699.2 51.1377 34.10104 0.02814 0.0202 0.02653 0.02048 0.0094 0.01787 17.16552 0.12621 0.1703
325.2 1315.1 51.27185 34.14707 0.00585 0.00421 0.00343 0.00305 -0.00474 0.00471 14.58568 0.02517 -0.4723
1380.2 1231.6 51.12105 34.1562 0.00504 0.0048 -0.00489 0.00485 -0.00124 0.00394 14.96098 0.02806 -1.4461
507.7 1673.4 51.24604 34.10476 0.0167 0.00967 0.00893 0.00777 0.01411 0.01033 15.90359 0.04654 0.5033
368.6 1714.2 51.26578 34.10011 0.01196 0.02126 0.01094 0.01938 0.00484 0.02901 17.28914 0.14048 0.2083
