X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
795.3 107.1 51.20306 34.28935 0.05529 0.04429 -0.01681 0.0456 -0.05268 0.04416 17.43875 0.24344 -0.9399
1375.4 728.8 51.12165 34.21605 0.04499 0.03464 -0.04399 0.03495 -0.00943 0.027 16.92704 0.16025 -1.4652
263.3 1462.7 51.28088 34.13001 0.03155 0.00989 0.01166 0.00558 0.02932 0.01041 15.2129 0.0462 0.5961
764.5 1840.6 51.2099 34.08498 0.06069 0.01418 -0.05298 0.01416 0.0296 0.01422 16.06291 0.07985 1.3161
1794.9 380.1 51.06078 34.25666 0.02425 0.00842 0.02366 0.00858 0.00529 0.00409 14.73711 0.03812 0.11
114.6 487.2 51.30023 34.24451 0.00622 0.00325 -0.0054 0.00249 -0.00308 0.00489 14.13885 0.0332 -1.3116
326.2 1316.8 51.27184 34.14723 0.00446 0.00533 -0.00215 0.00358 -0.00391 0.00576 14.59352 0.03638 -1.0372
509.9 1674.6 51.24608 34.10488 0.03991 0.01085 0.03991 0.01085 6e-05 0.01416 15.85954 0.0688 0.0007
1383.4 478.0 51.12007 34.24562 0.03878 0.01154 0.00865 0.01709 0.0378 0.01117 15.85839 0.06903 0.673
320.2 545.7 51.27139 34.23784 0.08642 0.01952 0.01339 0.01216 0.08538 0.01967 15.9589 0.07427 0.7076
533.4 1854.5 51.24281 34.08353 0.00805 0.0049 0.00048 0.00375 0.00804 0.0049 14.64053 0.03681 0.7553
233.5 1856.3 51.28534 34.08345 0.05687 0.03699 0.00177 0.02045 -0.05684 0.037 16.76069 0.13975 -0.7698
142.6 1686.9 51.29811 34.10351 0.03185 0.01708 0.0208 0.00936 0.02413 0.02106 15.84736 0.06861 0.4297
1268.9 1698.4 51.13772 34.10121 0.06152 0.02372 -0.01347 0.03162 0.06003 0.02325 17.04444 0.17566 0.8957
1214.6 853.4 51.14487 34.20151 0.05772 0.03299 -0.00267 0.04248 -0.05765 0.03297 17.20019 0.20042 -0.8085
1219.3 1682.1 51.14483 34.10325 0.00577 0.00579 0.00466 0.00628 -0.00341 0.00472 14.95845 0.04106 -0.3155
328.8 1449.6 51.2716 34.13156 0.0045 0.01199 0.00201 0.00772 -0.00402 0.01284 15.57372 0.05675 -0.5537
1715.1 1609.3 51.07346 34.11095 0.03563 0.04719 -0.03554 0.04729 -0.00259 0.02129 16.96572 0.16587 -1.5344
